6 -6 -15 0
6.00076 -6.0341 -14.7498 1
8 -6 -14 0
8.0226 -6.14275 -13.813 1
8 -6 -15.5 0
7.98097 -5.98075 -15.3049 1
10 -6 -14.5 0
10.0077 -6.03435 -14.3242 1
10 -6 -15.5 0
10 -5.92508 -15.3071 1
12 -6 -7 0
12 -6 -7 1
12 -6 -15 0
12.0048 -5.98414 -14.8253 1
12 -6 -15.5 0
12.0105 -5.93494 -15.3291 1
14 -6 -15 0
13.9893 -5.973 -14.774 1
16 -6 -2 0
16 -6 -2 1
16 -6 -15 0
15.9818 -5.92962 -14.6412 1
18 -6 -14.5 0
18.0359 -6.04408 -14.0886 1
18 -6 -15 0
18.0262 -5.95517 -14.5664 1
20 -6 -15 0
19.9421 -5.8989 -14.4873 1
22 -6 -15 0
21.9568 -5.88813 -14.804 1
22 -6 -15.5 0
21.9525 -5.80236 -15.2972 1
24 -6 -13.5 0
23.9924 -6.12002 -13.2564 1
24 -6 -14 0
23.9823 -6.06117 -13.6711 1
26 -6 -14 0
26.0241 -6.07637 -13.5285 1
26 -6 -15 0
26.0414 -5.88049 -14.5391 1
28 -6 -13.5 0
28.0426 -6.18365 -13.2446 1
30 -6 -14.5 0
29.9992 -5.97064 -14.3285 1
30 -6 -15 0
30.0021 -5.89002 -14.8074 1
30 -6 -15.5 0
30.0042 -5.80633 -15.2989 1
30 -6 -16 0
29.9839 -5.82017 -15.8562 1
32 -6 -14.5 0
31.9681 -5.91756 -14.159 1
34 -6 -3.5 0
34.1489 -5.99277 -3.54892 1
34 -6 -4 0
34.0541 -5.99833 -4.01948 1
34 -6 -14.5 0
33.9848 -5.94201 -14.3303 1
34 -6 -15 0
33.9837 -5.87063 -14.8119 1
36 -6 0 0
36.0187 -6.01166 -0.00431005 1
36 -6 -14 0
35.9793 -6.04148 -13.7018 1
36 -6 -14.5 0
35.9769 -5.97111 -14.189 1
38 -6 -14 0
38.0163 -6.03228 -13.8252 1
38 -6 -14.5 0
38.0261 -5.97264 -14.2984 1
40 -6 -14.5 0
40.0684 -6.04141 -14.0774 1
40 -6 -16.5 0
40.0225 -5.95501 -16.4274 1
42 -6 -15.5 0
42.005 -5.90194 -15.2322 1
44 -6 10 0
44 -6 10 1
44 -6 -15 0
43.9593 -5.93869 -14.6709 1
46 -6 -14.5 0
45.9771 -6.00375 -14.3218 1
46 -6 -15 0
45.9715 -5.95483 -14.8165 1
48 -6 -14.5 0
47.9859 -5.99522 -14.3544 1
50 -6 -14 0
49.9749 -6.00557 -13.701 1
50 -6 -14.5 0
49.9721 -5.93545 -14.1863 1
52 -6 -14 0
51.9829 -5.95327 -13.7207 1
52 -6 -14.5 0
51.9922 -5.87472 -14.2039 1
54 -6 -14.5 0
54.0199 -5.87754 -14.1977 1
56 -6 21 0
56 -6 21 1
56 -6 -14.5 0
56.0367 -5.96391 -14.0472 1
58 -6 21 0
58 -6 21 1
58 -6 -5 0
58.0001 -5.97507 -4.99515 1
58 -6 -5.5 0
57.9994 -5.9846 -5.49705 1
58 -6 -14.5 0
57.9809 -5.89395 -14.1731 1
60 -6 -3 0
60.0472 -6.00846 -3.02211 1
60 -6 -3.5 0
60.0434 -6.0214 -3.52839 1
60 -6 -4 0
59.9913 -5.95412 -3.98959 1
60 -6 -4.5 0
59.9909 -5.93036 -4.4854 1
60 -6 -14.5 0
59.9955 -5.90832 -14.245 1
62 -6 -3 0
61.9928 -5.98906 -2.98166 1
62 -6 -14.5 0
62.0045 -5.944 -14.2062 1
64 -6 -14 0
63.9901 -6.02988 -13.7021 1
66 -6 -14 0
65.9868 -6.03247 -13.7898 1
66 -6 -14.5 0
65.9867 -5.97834 -14.2985 1
68 -6 -14 0
67.986 -6.00594 -13.769 1
70 -6 -14 0
69.9848 -5.99198 -13.798 1
72 -6 -13.5 0
71.9925 -6.00139 -13.3298 1
72 -6 -14 0
71.9862 -5.9553 -13.8207 1
74 -6 -13.5 0
73.9921 -5.99575 -13.3492 1
74 -6 -14 0
74.0085 -5.95963 -13.8501 1
76 -6 -14 0
76.0046 -5.98541 -13.9504 1
78 -6 11.5 0
78.003 -5.94318 11.4552 1
78 -6 10.5 0
77.9908 -6.00815 10.5299 1
80 -6 16.5 0
79.9915 -5.99152 16.5226 1
80 -6 11 0
79.9845 -6.03226 11.056 1
80 -6 10.5 0
79.9955 -6 10.5157 1
80 -6 -14.5 0
80 -5.99392 -14.5 1
82 -6 24 0
82 -6 24 1
82 -6 12.5 0
82.0124 -5.95657 12.4726 1
82 -6 12 0
82.0123 -5.9526 11.9623 1
84 -6 18.5 0
84 -5.94923 18.5 1
84 -6 18 0
84 -5.9485 18 1
84 -6 -13.5 0
83.9993 -6.01929 -13.4338 1
84 -6 -14 0
84.002 -5.99895 -13.9184 1
86 -6 18.5 0
86 -5.94923 18.5 1
86 -6 18 0
86 -5.94923 18 1
86 -6 -6.5 0
86 -6 -6.5 1
86 -6 -14.5 0
85.9945 -5.93827 -14.2158 1
88 -6 28 0
88.0023 -5.99767 28 1
90 -6 -13 0
90.0176 -6.06498 -12.8744 1
90 -6 -13.5 0
90.0149 -6.03366 -13.3392 1
92 -6 -14 0
92.0611 -6.0018 -13.8557 1
92 -6 -14.5 0
92.0737 -5.97251 -14.3769 1
94 -6 29 0
94.0322 -5.96784 29 1
94 -6 28.5 0
94.0357 -5.96435 28.5 1
96 -6 8.5 0
96 -6 8.5 1
98 -6 24 0
98 -6 24 1
98 -6 -14.5 0
98.0009 -5.98001 -14.3617 1
100 -6 -14.5 0
99.9913 -5.96703 -14.168 1
102 -6 -14.5 0
101.953 -5.97173 -13.9516 1
104 -6 -13.5 0
103.985 -6.13459 -13.1302 1
104 -6 -14.5 0
103.935 -5.95614 -14.1013 1
106 -6 -13.5 0
106.008 -6.07045 -13.2057 1
106 -6 -14 0
105.997 -5.99263 -13.6754 1
106 -6 -14.5 0
105.985 -5.91265 -14.1793 1
108 -6 -14 0
108.007 -5.997 -13.8903 1
108 -6 -14.5 0
